user_id,song_id,rating
user_0000,13JA5wH9zrY23pUjxlxUtx,5.0
user_0000,2A56QOJvOGbcrj1HVmTtan,4.8
user_0000,1HW8530N82xyALSo5SZQfp,5.0
user_0000,3wm94igNrbB7TVsblXO1FO,5.0
user_0000,7Hiyi8omzbf2VXWOiVDM4H,5.0
user_0000,2Q7DRtNo4Hc5AjmV0Xx8mf,5.0
user_0000,3blFLM3nndnphwGKBYQetw,5.0
user_0000,3Cvc84QfqPrEoTtbin4O16,5.0
user_0000,55A1N4HXYWyAeGt434zNt9,5.0
user_0000,4hEd5ZhrKn38SUBybAjY2d,5.0
user_0000,0fGDKi4UeXx8CypAvJdAj6,4.8
user_0000,4wp5DGGbvBcalN7rq8Dn2d,5.0
user_0000,2rJY5X95YYOYvSUI8Jem0r,5.0
user_0000,6dnVnVDhfaLdlS0pkJNb40,5.0
user_0000,5FsRbUIHwjAF7bghHIts5Y,5.0
user_0000,1viLe1wmYGwxIj5QOKOB5N,5.0
user_0000,0bq8T0Drwu9bRjDeJKaidx,4.2
user_0000,7cQOFgyeKSTBV4IqMHB0DH,5.0
user_0000,0Zo3dEV1BOVGF1DaW5aGq9,5.0
user_0000,5ZLzl6T8JwqMTMdoE0nCbU,5.0
user_0000,1ALXmPZCQYihKbJ6cZ0Nlt,5.0
user_0000,6pMGiv9BCjnrmBwr7OUdxD,5.0
user_0000,1oJG0L98Oghnf8zxQgQBWP,5.0
user_0000,4oNRFSh6onQ5rrHSydWcDr,5.0
user_0000,47T1jNQizR8E8e8SpvXNog,5.0
user_0001,3N6isgIE6SAFbRfRIbQ3sd,4.4
user_0001,1SdJjeWaSdVr1Nrcs0WT0R,5.0
user_0001,3v94rFhaGZqGo2rhMvR3Vx,5.0
user_0001,6etp0C23U12g5fK1WfepIy,5.0
user_0001,2XO4ndxUTWvbD5OpWEcko7,5.0
user_0001,1C2MHvFmeoFpExBtWOiQ4Z,5.0
user_0001,6CmYg5ACTFWfv2WeAwdZsV,5.0
user_0001,2nYuEm5rCCiQWqGgUq5ptt,5.0
user_0001,4mOZdpNKzSVO1LSZM3H5m7,5.0
user_0001,3koAwrM1RO0TGMeQJ3qt9J,5.0
user_0001,1f0LO3szNxDKn19pFEGPan,5.0
user_0001,3BpzBv9MICTxozAKqLJfUW,5.0
user_0001,6EYXvxZRwDoKgVBMQiPq9b,5.0
user_0001,1jxGBe4s8FwL2ZeNWszVuu,5.0
user_0001,4CRp77Sf1fHsFIOp4yhdcu,5.0
user_0001,1j8bp1BNjMxUJV7nLkSUrb,5.0
user_0001,2HnZE1V9na6b2XoWnDhR13,5.0
user_0001,7vHshinTU8161w69EPbabY,5.0
user_0001,4fCzT5etBddT4Ua9F1CfXD,5.0
user_0001,10OPbro4cBUosJqTgtIKUM,5.0
user_0001,6Kynli1iHBqJRWUCohcV9h,5.0
user_0001,2THmvSNoBM48n268RjjJeE,5.0
user_0001,5zFjvUEEQEU1H5oZWeuA9C,5.0
user_0001,0lRyppKH2NUmyYaFVnfzjm,5.0
user_0001,05sQfg8PUdgc7XSAGUw7HJ,5.0
user_0002,2Gv0GXMGtNEcMYjDNVpSRu,5.0
user_0002,1fwqgMXXwqEypnltDtmkGF,5.0
user_0002,6PQX1Odq26b6zGJESw9c6Z,5.0
user_0002,44ygGTyBchnIDf0BU4GKRn,5.0
user_0002,5CBDOzmi9RXYOWi7YMrU9e,5.0
user_0002,2dWJYBOZlwRWIb5Hsb6M1Q,5.0
user_0002,4NUomtCzWb8WNW1DOjCa8A,5.0
user_0002,6FV3JDjcNWsDq0aglYVQZ3,4.7
user_0002,1ugTSkllKG0YdiPaOEPa0z,5.0
user_0002,4O37j52pcr7FkAqdzjSl0L,5.0
user_0002,61MsjQN0Q7KahSXROkTuCT,5.0
user_0002,6BkEJgMiwbaOueELZXo27f,5.0
user_0002,6qJ6JSZA2vVQh8k9XbBgYy,5.0
user_0002,4C4B9L1O7JCiDSniF64rbJ,5.0
